Time Elapsed (s),Timestamp,Frequency,Moving Average
148.9676673412323,1756893521.304451,5976179.485486454,5976186.008414572
149.4729404449463,1756893521.809724,5976175.889898627,5976182.468200051
149.97720956802368,1756893522.313993,5976171.264977382,5976178.917978814
150.48275685310364,1756893522.81954,5976167.201456661,5976175.251527991
150.98819851875305,1756893523.324982,5976162.605836777,5976171.289531181
151.49261569976807,1756893523.829399,5976160.170236255,5976167.426481141
151.99515962600708,1756893524.331943,5976155.169871333,5976163.282475682
152.4979691505432,1756893524.834752,5976152.734226048,5976159.576325415
153.00501823425293,1756893525.341802,5976146.5869705435,5976155.453428191
153.50741934776306,1756893525.844203,5976141.133348989,5976151.158930635
154.01380491256714,1756893526.350588,5976140.73258157,5976147.271399697
154.52002215385437,1756893526.856805,5976141.163117177,5976144.470048865
155.02616143226624,1756893527.362945,5976143.4891541395,5976142.621034483
155.53078317642212,1756893527.867566,5976144.905589109,5976142.284758197
156.035053730011,1756893528.371837,5976146.532908189,5976143.364670037
156.53982663154602,1756893528.87661,5976149.216706972,5976145.061495118
157.04492211341858,1756893529.381705,5976151.180761491,5976147.06502398
157.54970526695251,1756893529.886488,5976153.7099831235,5976149.109189777
158.054518699646,1756893530.391302,5976156.904573316,5976151.508986617
158.560480594635,1756893530.897264,5976161.620628062,5976154.526530593
159.0663423538208,1756893531.403126,5976167.589581394,5976158.201105477
159.57306098937988,1756893531.909844,5976170.82052011,5976162.129057201
160.07752680778503,1756893532.41431,5976176.968523816,5976166.780765339
160.5839717388153,1756893532.920755,5976182.145854381,5976171.829021553
161.08701086044312,1756893533.423794,5976189.370942108,5976177.379084362
161.5899305343628,1756893533.926714,5976196.16544307,5976183.094256697
162.09250235557556,1756893534.429285,5976201.236126144,5976189.177377904
162.59523510932922,1756893534.932018,5976205.23170761,5976194.830014663
163.0982494354248,1756893535.435033,5976208.921869386,5976200.185217664
163.60342478752136,1756893535.940208,5976209.908651242,5976204.29275949
164.10839748382568,1756893536.445181,5976212.968699457,5976207.653410767
164.61636590957642,1756893536.953149,5976215.892824399,5976210.5847504195
165.1227343082428,1756893537.459518,5976217.283027552,5976212.995014408
165.6275827884674,1756893537.964366,5976219.050944565,5976215.020829444
166.13595962524414,1756893538.472743,5976219.982474618,5976217.035594118
166.6406853199005,1756893538.977468,5976222.474625103,5976218.936779248
167.14311027526855,1756893539.479894,5976222.6363389455,5976220.285482157
167.64942693710327,1756893539.98621,5976224.722427048,5976221.773362056
168.15249967575073,1756893540.489283,5976227.422251413,5976223.447623426
168.65693736076355,1756893540.993721,5976231.860678638,5976225.82326423
169.16061305999756,1756893541.497396,5976238.59477352,5976229.047293914
169.6662881374359,1756893542.003071,5976245.121156154,5976233.544257355
170.17332196235657,1756893542.510105,5976249.227170882,5976238.445206122
170.67630910873413,1756893543.013092,5976252.0969457,5976243.380144979
171.18344497680664,1756893543.520228,5976255.0678044595,5976248.021570143
171.68606996536255,1756893544.022853,5976257.480281077,5976251.798671654
172.19202041625977,1756893544.528804,5976260.4757473525,5976254.869589895
172.69707942008972,1756893545.033863,5976264.438254475,5976257.911806613
173.20435404777527,1756893545.541137,5976268.524419481,5976261.197301368
173.70698809623718,1756893546.043771,5976273.40776441,5976264.865293359
174.21002674102783,1756893546.54681,5976275.9904664615,5976268.567330436
174.71629977226257,1756893547.053083,5976278.376704869,5976272.147521938
175.21943140029907,1756893547.556215,5976276.53766395,5976274.567403833
175.72291707992554,1756893548.0597,5976272.649171221,5976275.392354182
176.2273073196411,1756893548.56409,5976268.4344626395,5976274.397693829
176.7327094078064,1756893549.069492,5976265.796527969,5976272.35890613
177.23991775512695,1756893549.576701,5976264.08327443,5976269.500220043
177.74423480033875,1756893550.081018,5976261.739402133,5976266.540567679
178.24870324134827,1756893550.585486,5976258.80645225,5976263.772023884
178.75436353683472,1756893551.091147,5976254.672427927,5976261.019616941
179.26147603988647,1756893551.598259,5976250.2808688115,5976257.91648511
179.7694444656372,1756893552.106228,5976245.955004345,5976254.290831093
180.27376866340637,1756893552.610552,5976238.591390626,5976249.661228792
180.7781732082367,1756893553.114956,5976233.081756277,5976244.516289597
181.28262495994568,1756893553.619408,5976230.026760021,5976239.587156015
181.7854220867157,1756893554.122205,5976227.62635055,5976235.056252363
182.29244136810303,1756893554.629224,5976225.8913096385,5976231.043513423
182.7972149848938,1756893555.133998,5976224.987367118,5976228.322708721
183.30375814437866,1756893555.640541,5976223.3977522785,5976226.385907921
183.8062686920166,1756893556.143052,5976223.72352049,5976225.125260016
184.30890560150146,1756893556.645689,5976220.576584979,5976223.715306901
184.8115212917328,1756893557.148305,5976217.708549569,5976222.078754888
185.3158037662506,1756893557.652587,5976216.29156464,5976220.339594392
185.82009267807007,1756893558.156876,5976214.510052103,5976218.562054357
186.32505989074707,1756893558.661843,5976211.51053147,5976216.119456553
186.82813143730164,1756893559.164915,5976209.2737159375,5976213.858882745
187.33279061317444,1756893559.669574,5976206.977504716,5976211.712673773
187.83533787727356,1756893560.172121,5976203.01164028,5976209.056688902
188.34231758117676,1756893560.679101,5976200.017638434,5976206.158206168
188.84928011894226,1756893561.186063,5976196.528640543,5976203.161827982
189.35633277893066,1756893561.693116,5976192.319156582,5976199.77091611
189.86155366897583,1756893562.198337,5976189.3057974195,5976196.236574652
190.36634707450867,1756893562.70313,5976184.905969717,5976192.615440538
190.87273979187012,1756893563.209523,5976181.494970234,5976188.910906899
191.37948966026306,1756893563.716273,5976179.041144292,5976185.413407648
191.88538551330566,1756893564.222169,5976173.324315681,5976181.614439469
192.3924195766449,1756893564.729203,5976168.083630995,5976177.370006183
192.8954303264618,1756893565.232213,5976163.588027106,5976173.1064176615
193.40259099006653,1756893565.739374,5976159.251758162,5976168.6577752475
193.90929746627808,1756893566.246081,5976156.1309777275,5976164.075741934
194.41542506217957,1756893566.752208,5976149.855479207,5976159.381974639
194.92064595222473,1756893567.257429,5976145.802478072,5976154.925744055
195.42755317687988,1756893567.764336,5976141.835846249,5976150.575307883
195.93464922904968,1756893568.271432,5976139.701559901,5976146.665268231
196.44004082679749,1756893568.776824,5976140.873812596,5976143.613835205
196.94442105293274,1756893569.281204,5976142.75309013,5976142.19335739
197.4490213394165,1756893569.785805,5976144.659111071,5976141.964683989
197.95382285118103,1756893570.290606,5976148.490190525,5976143.295552845
